viewCount,likeCount,favoriteCount,commentCount,video_id
562,1,0,0,xow2kTNSZqS
234,1,0,0,zxem8oCCE8D
2526557,24770,0,728,blwUXLpjUb0
91,0,0,0,OV9RmwVk4dv
31,1,0,0,kj8lMWbY3Ni
10847,142,0,13,B6meIT26ReY
12,0,0,0,f7cnh4cygYU
334,3,0,0,p6WQAmYJM3B
753,17,0,2,UIcfzCGjXCf
1467,6,0,0,7KCMSyMFGOa
591,7,0,0,8Yv8oKjONTE
1300,12,0,0,MSipCYhzluu
907660,3664,0,875,eBthRmBPHfA
21,0,0,0,509Nr8Mjn0K
4156,152,0,38,7hcSNCeyNsz
141914126,3062795,0,30416,gcmwFeXzIQJ
1635,32,0,9,L7xYFrZj6K4
600112,8605,0,748,slhoLNEuFem
3192447,252706,0,1616,SnZe6vhmJH3
704127,3667,0,1115,O39xfrSyi5C
5351382,50298,0,3683,33TgbSYXjhs
106,0,0,0,Dp9cutQ02CH
24513,658,0,49,rLBpzqZIMFJ
251,2,0,0,vo2sAcdyfiR
8132966,80648,0,3287,rQkrXVtQFPG
437701,8032,0,392,XS4dC4RKvx1
215381,16389,0,206,1TJyOON0fdw
95,7,0,1,URsV1qpHixY
62,2,0,0,wCTsuBNBYOQ
855,21,0,7,yH4RvQvoeHR
11542,34,0,5,JS4FrE2tIPk
350334,15720,0,1131,rJ5yuma8Wal
137583,4007,0,164,mmXy9yLHll5
787,0,0,0,5EMgtNuv7LE
1347312,29579,0,641,Wh89kPvvKuf
3279,27,0,4,rHvP0sv5YnJ
834363,13475,0,667,2xRsGkBshLO
4407,231,0,6,TQxaAagnLXg
5485895,96814,0,4169,hK0HuDHgEqW
14997,733,0,74,gEjrqILgPc8
93731,6730,0,37,aOek4W16ecb
15731,290,0,18,OPWYwooNf4r
210,2,0,0,G3Rul1lzWcA
701814,24433,0,6382,7zXsj8ZULwD
47760,540,0,146,3PMrQE3bWbv
257,10,0,13,iytXmdNA1wG
507638,16632,0,166,v12Jfno6SWj
113,2,0,1,Wk4xZBvW8Qi
1554,131,0,37,QXuL9uFrW4P
